n,U,C,F,O,B
2904,0,1,0,0,7
2905,0,1,0,0,7
2906,0,1,0,0,7
2907,0,1,0,0,7
2908,1,3,-1,0,7
2909,1,3,-1,0,7
2910,0,2,2,1,7
2911,0,2,2,0,7
2912,0,1,0,0,7
2913,0,1,0,0,7
2914,0,1,0,0,7
2915,0,1,0,0,7
2916,1,3,-1,0,7
2917,1,3,-1,0,7
2918,0,1,0,0,7
2919,0,1,0,0,7
2920,0,2,1,1,7
2921,0,2,1,0,7
2922,0,2,2,1,7
2923,0,2,2,0,7
2924,0,1,0,0,7
2925,0,1,0,0,7
2926,1,3,-1,0,7
2927,1,3,-1,0,7
2928,0,2,2,1,7
2929,0,2,2,0,7
2930,0,1,0,0,5
2931,0,1,0,0,5
2932,0,1,0,0,5
2933,0,1,0,0,5
2934,0,1,0,0,5
2935,0,1,0,0,5
2936,0,1,0,0,5
2937,0,1,0,0,5
2938,1,3,-1,0,5
2939,1,3,-1,0,5
2940,0,2,1,1,5
2941,0,2,1,0,5
2942,0,1,0,0,5
2943,0,1,0,0,5
2944,0,1,0,0,5
2945,0,1,0,0,5
2946,0,1,0,0,5
2947,0,1,0,0,5
2948,0,1,0,0,5
2949,0,1,0,0,5
2950,0,2,1,1,5
2951,0,2,1,0,5
2952,1,3,-1,0,5
2953,1,3,-1,0,5
2954,0,1,0,0,5
2955,0,1,0,0,5
2956,1,3,-1,0,5
2957,1,3,-1,0,5
2958,0,1,0,0,5
2959,0,1,0,0,5
2960,0,1,0,0,5
2961,0,1,0,0,5
2962,1,3,-1,0,5
2963,1,3,-1,0,5
2964,0,1,0,0,5
2965,0,1,0,0,5
2966,0,1,0,0,5
2967,0,1,0,0,5
2968,1,3,-1,0,5
2969,1,3,-1,0,5
2970,1,3,-1,0,5
2971,1,3,-1,0,5
2972,0,1,0,0,5
2973,0,1,0,0,5
2974,0,1,0,0,5
2975,0,1,0,0,5
2976,0,2,1,1,5
2977,0,2,1,0,5
2978,0,1,0,0,5
2979,0,1,0,0,5
2980,0,1,0,0,5
2981,0,1,0,0,5
2982,0,2,1,1,5
2983,0,2,1,0,5
2984,0,1,0,0,5
2985,0,1,0,0,5
2986,0,2,2,1,5
2987,0,2,2,0,5
2988,0,1,0,0,5
2989,0,1,0,0,5
2990,0,1,0,0,5
2991,0,1,0,0,5
2992,0,2,2,1,5
2993,0,2,2,0,5
2994,0,1,0,0,5
2995,0,1,0,0,5
2996,0,1,0,0,5
2997,0,1,0,0,5
2998,1,3,-1,0,5
2999,1,3,-1,0,5
3000,1,3,-1,0,5
3001,1,3,-1,0,5
3002,0,1,0,0,5
3003,0,1,0,0,5
3004,0,1,0,0,5
3005,0,1,0,0,5
3006,0,2,2,1,5
3007,0,2,2,0,5
3008,0,1,0,0,5
3009,0,1,0,0,5
3010,1,3,-1,0,5
3011,1,3,-1,0,5
3012,0,2,1,1,5
3013,0,2,1,0,5
3014,0,1,0,0,5
3015,0,1,0,0,5
3016,0,1,0,0,5
3017,0,1,0,0,5
3018,1,3,-1,0,5
3019,1,3,-1,0,5
3020,0,1,0,0,5
3021,0,1,0,0,5
3022,1,3,-1,0,5
3023,1,3,-1,0,5
3024,0,1,0,0,5
3025,0,1,0,0,5
3026,0,1,0,0,5
3027,0,1,0,0,5
3028,0,2,1,1,5
3029,0,2,1,0,5
3030,0,1,0,0,5
3031,0,1,0,0,5
3032,0,1,0,0,5
3033,0,1,0,0,5
3034,0,1,0,0,5
3035,0,1,0,0,5
3036,1,3,-1,0,5
3037,1,3,-1,0,5
3038,0,1,0,0,5
3039,0,1,0,0,5
3040,1,3,-1,0,5
3041,1,3,-1,0,5
3042,0,2,1,1,5
3043,0,2,1,0,5
3044,0,1,0,0,5
3045,0,1,0,0,5
3046,0,1,0,0,5
3047,0,1,0,0,5
3048,1,3,-1,0,5
3049,1,3,-1,0,5
3050,0,1,0,0,5
3051,0,1,0,0,5
3052,0,2,2,1,5
3053,0,2,2,0,5
3054,0,1,0,0,5
3055,0,1,0,0,5
3056,0,1,0,0,5
3057,0,1,0,0,5
3058,0,1,0,0,5
3059,0,1,0,0,5
3060,1,3,-1,0,5
3061,1,3,-1,0,5
3062,0,1,0,0,5
3063,0,1,0,0,5
3064,0,1,0,0,5
3065,0,1,0,0,5
3066,1,3,-1,0,5
3067,1,3,-1,0,5
3068,0,1,0,0,5
3069,0,1,0,0,5
3070,0,2,2,1,5
3071,0,2,2,0,5
3072,0,1,0,0,5
3073,0,1,0,0,5
3074,0,1,0,0,5
3075,0,1,0,0,5
3076,0,2,1,1,5
3077,0,2,1,0,5
3078,1,3,-1,0,5
3079,1,3,-1,0,5
3080,0,1,0,0,5
3081,0,1,0,0,5
3082,1,3,-1,0,5
3083,1,3,-1,0,5
3084,0,1,0,0,5
3085,0,1,0,0,5
3086,0,1,0,0,5
3087,0,1,0,0,5
3088,1,3,-1,0,5
3089,1,3,-1,0,5
3090,0,1,0,0,5
3091,0,1,0,0,5
3092,0,1,0,0,5
3093,0,1,0,0,5
3094,0,1,0,0,5
3095,0,1,0,0,5
3096,0,2,1,1,5
3097,0,2,1,0,5
3098,0,1,0,0,5
3099,0,1,0,0,5
3100,0,1,0,0,7
3101,0,1,0,0,7
3102,0,2,2,1,7
3103,0,2,2,0,7
3104,0,1,0,0,7
3105,0,1,0,0,7
3106,0,2,1,1,7
3107,0,2,1,0,7
3108,1,3,-1,0,7
3109,1,3,-1,0,7
3110,0,1,0,0,7
3111,0,1,0,0,7
3112,0,1,0,0,7
3113,0,1,0,0,7
3114,0,1,0,0,7
3115,0,1,0,0,7
3116,0,1,0,0,7
3117,0,1,0,0,7
3118,1,3,-1,0,7
3119,1,3,-1,0,7
3120,1,3,-1,0,7
3121,1,3,-1,0,7
3122,0,1,0,0,7
3123,0,1,0,0,7
3124,0,1,0,0,7
3125,0,1,0,0,7
3126,0,2,3,1,7
3127,0,2,3,0,7
3128,0,1,0,0,7
3129,0,1,0,0,7
3130,0,2,2,1,7
3131,0,2,2,0,7
3132,0,2,1,1,7
3133,0,2,1,0,7
3134,0,1,0,0,7
3135,0,1,0,0,7
3136,1,3,-1,0,7
3137,1,3,-1,0,7
3138,0,2,2,1,7
3139,0,2,2,0,7
3140,0,1,0,0,7
3141,0,1,0,0,7
3142,0,1,0,0,7
3143,0,1,0,0,7
3144,0,1,0,0,7
3145,0,1,0,0,7
3146,0,1,0,0,7
3147,0,1,0,0,7
3148,0,2,3,1,7
3149,0,2,3,0,7
3150,0,2,1,1,7
3151,0,2,1,0,7
3152,0,1,0,0,7
3153,0,1,0,0,7
3154,0,1,0,0,7
3155,0,1,0,0,7
3156,0,1,0,0,7
3157,0,1,0,0,7
3158,0,1,0,0,7
3159,0,1,0,0,7
3160,0,2,1,1,7
3161,0,2,1,0,7
3162,1,3,-1,0,7
3163,1,3,-1,0,7
3164,0,1,0,0,7
3165,0,1,0,0,7
3166,1,3,-1,0,7
3167,1,3,-1,0,7
3168,1,3,-1,0,7
3169,1,3,-1,0,7
3170,0,1,0,0,7
3171,0,1,0,0,7
3172,0,2,1,1,7
3173,0,2,1,0,7
3174,0,1,0,0,7
3175,0,1,0,0,7
3176,0,1,0,0,7
3177,0,1,0,0,7
3178,0,1,0,0,7
3179,0,1,0,0,7
3180,1,3,-1,0,7
3181,1,3,-1,0,7
3182,0,1,0,0,7
3183,0,1,0,0,7
3184,0,1,0,0,7
3185,0,1,0,0,7
3186,1,3,-1,0,7
3187,1,3,-1,0,7
3188,0,1,0,0,7
3189,0,1,0,0,7
3190,1,3,-1,0,7
3191,1,3,-1,0,7
3192,0,2,2,1,7
3193,0,2,2,0,7
3194,0,1,0,0,7
3195,0,1,0,0,7
3196,0,2,1,1,7
3197,0,2,1,0,7
3198,0,1,0,0,5
3199,0,1,0,0,5
3200,0,1,0,0,5
3201,0,1,0,0,5
3202,1,3,-1,0,5
3203,1,3,-1,0,5
3204,0,1,0,0,5
3205,0,1,0,0,5
3206,0,1,0,0,5
3207,0,1,0,0,5
3208,1,3,-1,0,5
3209,1,3,-1,0,5
3210,0,2,1,1,5
3211,0,2,1,0,5
3212,0,1,0,0,5
3213,0,1,0,0,5
3214,0,1,0,0,5
3215,0,1,0,0,5
3216,1,3,-1,0,5
3217,1,3,-1,0,5
3218,0,1,0,0,5
3219,0,1,0,0,5
3220,1,3,-1,0,5
3221,1,3,-1,0,5
3222,0,1,0,0,5
3223,0,1,0,0,5
3224,0,1,0,0,5
3225,0,1,0,0,5
3226,0,1,0,0,5
3227,0,1,0,0,5
3228,1,3,-1,0,5
3229,1,3,-1,0,5
3230,0,1,0,0,5
3231,0,1,0,0,5
3232,0,2,3,1,5
3233,0,2,3,0,5
3234,0,1,0,0,5
3235,0,1,0,0,5
3236,0,1,0,0,5
3237,0,1,0,0,5
3238,0,2,2,1,5
3239,0,2,2,0,5
3240,0,1,0,0,5
3241,0,1,0,0,5
3242,0,1,0,0,5
3243,0,1,0,0,5
3244,0,1,0,0,5
3245,0,1,0,0,5
3246,0,2,1,1,5
3247,0,2,1,0,5
3248,0,1,0,0,5
3249,0,1,0,0,5
3250,1,3,-1,0,5
3251,1,3,-1,0,5
3252,1,3,-1,0,5
3253,1,3,-1,0,5
3254,0,1,0,0,5
3255,0,1,0,0,5
3256,1,3,-1,0,5
3257,1,3,-1,0,5
3258,1,3,-1,0,5
3259,1,3,-1,0,5
3260,0,1,0,0,5
3261,0,1,0,0,5
3262,0,1,0,0,5
3263,0,1,0,0,5
3264,0,1,0,0,5
3265,0,1,0,0,5
3266,0,1,0,0,5
3267,0,1,0,0,5
3268,0,1,0,0,5
3269,0,1,0,0,5
3270,1,3,-1,0,5
3271,1,3,-1,0,5
3272,0,1,0,0,5
3273,0,1,0,0,5
3274,0,1,0,0,5
3275,0,1,0,0,5
3276,0,2,1,1,5
3277,0,2,1,0,5
3278,0,1,0,0,5
3279,0,1,0,0,5
3280,0,2,1,1,5
3281,0,2,1,0,5
3282,0,1,0,0,5
3283,0,1,0,0,5
3284,0,1,0,0,5
3285,0,1,0,0,5
3286,0,2,1,1,5
3287,0,2,1,0,5
3288,0,1,0,0,5
3289,0,1,0,0,5
3290,0,1,0,0,5
3291,0,1,0,0,5
3292,0,2,2,1,5
3293,0,2,2,0,5
3294,0,1,0,0,5
3295,0,1,0,0,5
3296,0,1,0,0,5
3297,0,1,0,0,5
3298,1,3,-1,0,5
3299,1,3,-1,0,5
3300,1,3,-1,0,5
3301,1,3,-1,0,5
3302,0,1,0,0,5
3303,0,1,0,0,5
3304,0,1,0,0,5
3305,0,1,0,0,5
3306,1,3,-1,0,5
3307,1,3,-1,0,5
3308,0,1,0,0,5
3309,0,1,0,0,5
3310,0,1,0,0,5
3311,0,1,0,0,5
3312,1,3,-1,0,5
3313,1,3,-1,0,5
3314,0,1,0,0,5
3315,0,1,0,0,5
3316,0,2,2,1,5
3317,0,2,2,0,5
3318,1,3,-1,0,5
3319,1,3,-1,0,5
3320,0,1,0,0,5
3321,0,1,0,0,5
3322,1,3,-1,0,5
3323,1,3,-1,0,5
3324,0,1,0,0,5
3325,0,1,0,0,5
3326,0,1,0,0,1
3327,0,1,0,0,1
3328,1,3,-1,0,1
3329,1,3,-1,0,1
3330,1,3,-1,0,1
3331,1,3,-1,0,1
3332,0,1,0,0,1
3333,0,1,0,0,1
3334,0,1,0,0,1
3335,0,1,0,0,1
3336,0,2,3,1,1
3337,0,2,3,0,1
3338,0,1,0,0,1
3339,0,1,0,0,1
3340,0,1,0,0,1
3341,0,1,0,0,1
3342,1,3,-1,0,1
3343,1,3,-1,0,1
3344,0,1,0,0,1
3345,0,1,0,0,1
3346,1,3,-1,0,1
3347,1,3,-1,0,1
3348,0,2,1,1,1
3349,0,2,1,0,1
3350,0,1,0,0,1
3351,0,1,0,0,1
3352,0,1,0,0,1
3353,0,1,0,0,1
3354,0,1,0,0,5
3355,0,1,0,0,5
3356,0,1,0,0,5
3357,0,1,0,0,5
3358,1,3,-1,0,5
3359,1,3,-1,0,5
3360,1,3,-1,0,5
3361,1,3,-1,0,5
3362,0,1,0,0,5
3363,0,1,0,0,5
3364,0,1,0,0,5
3365,0,1,0,0,5
3366,0,1,0,0,5
3367,0,1,0,0,5
3368,0,1,0,0,5
3369,0,1,0,0,5
3370,1,3,-1,0,5
3371,1,3,-1,0,5
3372,1,3,-1,0,5
3373,1,3,-1,0,5
3374,0,1,0,0,5
3375,0,1,0,0,5
3376,0,1,0,0,5
3377,0,1,0,0,5
3378,0,2,2,1,5
3379,0,2,2,0,5
3380,0,1,0,0,5
3381,0,1,0,0,5
3382,0,2,1,1,5
3383,0,2,1,0,5
3384,0,1,0,0,5
3385,0,1,0,0,5
3386,0,1,0,0,5
3387,0,1,0,0,5
3388,1,3,-1,0,5
3389,1,3,-1,0,5
3390,1,3,-1,0,5
3391,1,3,-1,0,5
3392,0,1,0,0,5
3393,0,1,0,0,5
3394,0,1,0,0,5
3395,0,1,0,0,5
3396,0,2,2,1,5
3397,0,2,2,0,5
3398,0,1,0,0,5
3399,0,1,0,0,5
3400,0,2,1,1,5
3401,0,2,1,0,5
3402,0,2,2,1,5
3403,0,2,2,0,5
3404,0,1,0,0,5
3405,0,1,0,0,5
3406,1,3,-1,0,5
3407,1,3,-1,0,5
3408,0,1,0,0,5
3409,0,1,0,0,5
3410,0,1,0,0,5
3411,0,1,0,0,5
3412,1,3,-1,0,5
3413,1,3,-1,0,5
3414,0,1,0,0,5
3415,0,1,0,0,5
3416,0,1,0,0,5
3417,0,1,0,0,5
3418,0,1,0,0,5
3419,0,1,0,0,5
3420,0,1,0,0,5
3421,0,1,0,0,5
3422,0,1,0,0,5
3423,0,1,0,0,5
3424,0,1,0,0,5
3425,0,1,0,0,5
3426,0,2,1,1,5
3427,0,2,1,0,5
3428,0,1,0,0,5
3429,0,1,0,0,5
3430,0,2,2,1,5
3431,0,2,2,0,5
3432,1,3,-1,0,5
3433,1,3,-1,0,5
3434,0,1,0,0,5
3435,0,1,0,0,5
3436,0,1,0,0,5
3437,0,1,0,0,5
3438,0,2,1,1,5
3439,0,2,1,0,5
3440,0,1,0,0,5
3441,0,1,0,0,5
3442,0,1,0,0,5
3443,0,1,0,0,5
3444,0,1,0,0,5
3445,0,1,0,0,5
3446,0,1,0,0,5
3447,0,1,0,0,5
3448,1,3,-1,0,5
3449,1,3,-1,0,5
3450,0,1,0,0,1
3451,0,1,0,0,1
3452,0,1,0,0,1
3453,0,1,0,0,1
3454,0,1,0,0,1
3455,0,1,0,0,1
3456,1,3,-1,0,1
3457,1,3,-1,0,1
3458,0,1,0,0,1
3459,0,1,0,0,1
3460,1,3,-1,0,1
3461,1,3,-1,0,1
3462,1,3,-1,0,1
3463,1,3,-1,0,1
3464,0,1,0,0,1
3465,0,1,0,0,1
3466,1,3,-1,0,1
3467,1,3,-1,0,1
3468,1,3,-1,0,1
3469,1,3,-1,0,1
3470,0,1,0,0,1
3471,0,1,0,0,1
3472,0,2,1,1,1
3473,0,2,1,0,1
3474,0,1,0,0,1
3475,0,1,0,0,1
3476,0,1,0,0,1
3477,0,1,0,0,1
3478,0,1,0,0,1
3479,0,1,0,0,1
3480,0,2,3,1,1
3481,0,2,3,0,1
3482,0,1,0,0,1
3483,0,1,0,0,1
3484,0,1,0,0,1
3485,0,1,0,0,1
3486,0,1,0,0,1
3487,0,1,0,0,1
3488,0,1,0,0,1
3489,0,1,0,0,1
3490,1,3,-1,0,1
3491,1,3,-1,0,1
3492,0,1,0,0,1
3493,0,1,0,0,1
3494,0,1,0,0,1
3495,0,1,0,0,1
3496,0,1,0,0,1
3497,0,1,0,0,1
3498,1,3,-1,0,1
3499,1,3,-1,0,1
3500,0,1,0,0,1
3501,0,1,0,0,1
3502,0,2,2,1,1
3503,0,2,2,0,1
3504,0,1,0,0,1
3505,0,1,0,0,1
3506,0,1,0,0,1
3507,0,1,0,0,1
3508,0,1,0,0,1
3509,0,1,0,0,1
3510,1,3,-1,0,1
3511,1,3,-1,0,1
3512,0,1,0,0,1
3513,0,1,0,0,1
3514,0,1,0,0,1
3515,0,1,0,0,1
3516,1,3,-1,0,1
3517,1,3,-1,0,1
3518,0,1,0,0,1
3519,0,1,0,0,1
3520,0,1,0,0,1
3521,0,1,0,0,1
3522,0,1,0,0,1
3523,0,1,0,0,1
3524,0,1,0,0,1
3525,0,1,0,0,1
3526,1,3,-1,0,1
3527,1,3,-1,0,1
3528,1,3,-1,0,1
3529,1,3,-1,0,1
3530,0,1,0,0,1
3531,0,1,0,0,1
3532,1,3,-1,0,1
3533,1,3,-1,0,1
3534,0,1,0,0,1
3535,0,1,0,0,1
3536,0,1,0,0,1
3537,0,1,0,0,1
3538,1,3,-1,0,1
3539,1,3,-1,0,1
3540,1,3,-1,0,1
3541,1,3,-1,0,1
3542,0,1,0,0,1
3543,0,1,0,0,1
3544,0,1,0,0,1
3545,0,1,0,0,1
3546,1,3,-1,0,1
3547,1,3,-1,0,1
3548,0,1,0,0,1
3549,0,1,0,0,1
3550,0,2,3,1,5
3551,0,2,3,0,5
3552,0,1,0,0,5
3553,0,1,0,0,5
3554,0,1,0,0,5
3555,0,1,0,0,5
3556,1,3,-1,0,5
3557,1,3,-1,0,5
3558,1,3,-1,0,5
3559,1,3,-1,0,5
3560,0,1,0,0,5
3561,0,1,0,0,5
3562,0,1,0,0,5
3563,0,1,0,0,5
3564,0,1,0,0,5
3565,0,1,0,0,5
3566,0,1,0,0,5
3567,0,1,0,0,5
3568,0,2,2,1,5
3569,0,2,2,0,5
3570,1,3,-1,0,5
3571,1,3,-1,0,5
3572,0,1,0,0,5
3573,0,1,0,0,5
3574,0,1,0,0,5
3575,0,1,0,0,5
3576,0,1,0,0,5
3577,0,1,0,0,5
3578,0,1,0,0,5
3579,0,1,0,0,5
3580,1,3,-1,0,5
3581,1,3,-1,0,5
3582,1,3,-1,0,5
3583,1,3,-1,0,5
3584,0,1,0,0,5
3585,0,1,0,0,5
3586,0,2,1,1,5
3587,0,2,1,0,5
3588,0,2,2,1,5
3589,0,2,2,0,5
3590,0,1,0,0,5
3591,0,1,0,0,5
3592,1,3,-1,0,5
3593,1,3,-1,0,5
3594,0,1,0,0,5
3595,0,1,0,0,5
3596,0,1,0,0,5
3597,0,1,0,0,5
3598,0,2,3,1,5
3599,0,2,3,0,5
3600,0,1,0,0,5
3601,0,1,0,0,5
3602,0,1,0,0,5
3603,0,1,0,0,5
3604,0,1,0,0,5
3605,0,1,0,0,5
3606,1,3,-1,0,5
3607,1,3,-1,0,5
3608,0,1,0,0,5
3609,0,1,0,0,5
3610,0,2,1,1,5
3611,0,2,1,0,5
3612,1,3,-1,0,5
3613,1,3,-1,0,5
3614,0,1,0,0,5
3615,0,1,0,0,5
3616,1,3,-1,0,5
3617,1,3,-1,0,5
3618,0,1,0,0,5
3619,0,1,0,0,5
3620,0,1,0,0,5
3621,0,1,0,0,5
3622,1,3,-1,0,5
3623,1,3,-1,0,5
3624,0,1,0,0,5
3625,0,1,0,0,5
3626,0,1,0,0,5
3627,0,1,0,0,5
3628,0,2,1,1,5
3629,0,2,1,0,5
3630,1,3,-1,0,5
3631,1,3,-1,0,5
3632,0,1,0,0,5
3633,0,1,0,0,5
3634,0,1,0,0,5
3635,0,1,0,0,5
3636,1,3,-1,0,1
3637,1,3,-1,0,1
3638,0,1,0,0,1
3639,0,1,0,0,1
3640,0,1,0,0,1
3641,0,1,0,0,1
3642,1,3,-1,0,1
3643,1,3,-1,0,1
3644,0,1,0,0,1
3645,0,1,0,0,1
3646,0,1,0,0,1
3647,0,1,0,0,1
3648,0,2,2,1,1
3649,0,2,2,0,1
3650,0,1,0,0,1
3651,0,1,0,0,1
3652,0,1,0,0,1
3653,0,1,0,0,1
3654,0,1,0,0,1
3655,0,1,0,0,1
3656,0,1,0,0,1
3657,0,1,0,0,1
3658,1,3,-1,0,1
3659,1,3,-1,0,1
3660,0,1,0,0,1
3661,0,1,0,0,1
3662,0,1,0,0,1
3663,0,1,0,0,1
3664,0,1,0,0,1
3665,0,1,0,0,1
3666,0,2,1,1,1
3667,0,2,1,0,1
3668,0,1,0,0,1
3669,0,1,0,0,1
3670,1,3,-1,0,1
3671,1,3,-1,0,1
3672,1,3,-1,0,1
3673,1,3,-1,0,1
3674,0,1,0,0,1
3675,0,1,0,0,1
3676,1,3,-1,0,1
3677,1,3,-1,0,1
3678,0,1,0,0,1
3679,0,1,0,0,1
3680,0,1,0,0,1
3681,0,1,0,0,1
3682,0,2,1,1,1
3683,0,2,1,0,1
3684,0,1,0,0,1
3685,0,1,0,0,1
3686,0,1,0,0,1
3687,0,1,0,0,1
3688,0,1,0,0,1
3689,0,1,0,0,1
3690,1,3,-1,0,1
3691,1,3,-1,0,1
3692,0,1,0,0,1
3693,0,1,0,0,1
3694,0,1,0,0,1
3695,0,1,0,0,1
3696,1,3,-1,0,1
3697,1,3,-1,0,1
3698,0,1,0,0,1
3699,0,1,0,0,1
3700,1,3,-1,0,5
3701,1,3,-1,0,5
3702,0,1,0,0,5
3703,0,1,0,0,5
3704,0,1,0,0,5
3705,0,1,0,0,5
3706,0,1,0,0,5
3707,0,1,0,0,5
3708,1,3,-1,0,5
3709,1,3,-1,0,5
3710,0,1,0,0,5
3711,0,1,0,0,5
3712,0,2,2,1,5
3713,0,2,2,0,5
3714,0,1,0,0,5
3715,0,1,0,0,5
3716,0,1,0,0,5
3717,0,1,0,0,5
3718,1,3,-1,0,5
3719,1,3,-1,0,5
3720,0,2,3,1,5
3721,0,2,3,0,5
3722,0,1,0,0,5
3723,0,1,0,0,5
3724,0,1,0,0,5
3725,0,1,0,0,5
3726,1,3,-1,0,5
3727,1,3,-1,0,5
3728,0,1,0,0,5
3729,0,1,0,0,5
3730,0,1,0,0,5
3731,0,1,0,0,5
3732,1,3,-1,0,5
3733,1,3,-1,0,5
3734,0,1,0,0,5
3735,0,1,0,0,5
3736,0,2,2,1,5
3737,0,2,2,0,5
3738,1,3,-1,0,5
3739,1,3,-1,0,5
3740,0,1,0,0,5
3741,0,1,0,0,5
3742,0,2,1,1,5
3743,0,2,1,0,5
3744,0,1,0,0,5
3745,0,1,0,0,5
3746,0,1,0,0,5
3747,0,1,0,0,5
3748,0,2,1,1,5
3749,0,2,1,0,5
3750,0,1,0,0,5
3751,0,1,0,0,5
3752,0,1,0,0,5
3753,0,1,0,0,5
3754,0,1,0,0,5
3755,0,1,0,0,5
3756,0,1,0,0,5
3757,0,1,0,0,5
3758,0,1,0,0,5
3759,0,1,0,0,5
3760,1,3,-1,0,5
3761,1,3,-1,0,5
3762,0,2,3,1,5
3763,0,2,3,0,5
3764,0,1,0,0,5
3765,0,1,0,0,5
3766,1,3,-1,0,5
3767,1,3,-1,0,5
3768,1,3,-1,0,5
3769,1,3,-1,0,5
3770,0,1,0,0,5
3771,0,1,0,0,5
3772,0,1,0,0,5
3773,0,1,0,0,5
3774,0,1,0,0,5
3775,0,1,0,0,5
3776,0,1,0,0,5
3777,0,1,0,0,5
3778,1,3,-1,0,5
3779,1,3,-1,0,5
3780,0,2,1,1,5
3781,0,2,1,0,5
3782,0,1,0,0,5
3783,0,1,0,0,5
3784,0,1,0,0,5
3785,0,1,0,0,5
3786,0,1,0,0,5
3787,0,1,0,0,5
3788,0,1,0,0,5
3789,0,1,0,0,5
3790,0,2,1,1,5
3791,0,2,1,0,5
3792,1,3,-1,0,5
3793,1,3,-1,0,5
3794,0,1,0,0,5
3795,0,1,0,0,5
3796,1,3,-1,0,5
3797,1,3,-1,0,5
3798,0,2,1,1,5
3799,0,2,1,0,5
3800,0,1,0,0,5
3801,0,1,0,0,5
3802,1,3,-1,0,5
3803,1,3,-1,0,5
3804,0,1,0,0,5
3805,0,1,0,0,5
3806,0,1,0,0,5
3807,0,1,0,0,5
3808,0,1,0,0,5
3809,0,1,0,0,5
3810,0,2,2,1,5
3811,0,2,2,0,5
3812,0,1,0,0,5
3813,0,1,0,0,5
3814,0,1,0,0,5
3815,0,1,0,0,5
3816,0,1,0,0,5
3817,0,1,0,0,5
3818,0,1,0,0,5
3819,0,1,0,0,5
3820,1,3,-1,0,5
3821,1,3,-1,0,5
3822,1,3,-1,0,5
3823,1,3,-1,0,5
3824,0,1,0,0,5
3825,0,1,0,0,5
3826,0,2,2,1,5
3827,0,2,2,0,5
3828,0,1,0,0,5
3829,0,1,0,0,5
3830,0,1,0,0,1
3831,0,1,0,0,1
3832,1,3,-1,0,1
3833,1,3,-1,0,1
3834,0,1,0,0,1
3835,0,1,0,0,1
3836,0,1,0,0,1
3837,0,1,0,0,1
3838,0,1,0,0,1
3839,0,1,0,0,1
3840,0,2,1,1,1
3841,0,2,1,0,1
3842,0,1,0,0,1
3843,0,1,0,0,1
3844,0,1,0,0,1
3845,0,1,0,0,1
3846,1,3,-1,0,1
3847,1,3,-1,0,1
3848,0,1,0,0,1
3849,0,1,0,0,1
3850,1,3,-1,0,1
3851,1,3,-1,0,1
3852,1,3,-1,0,1
3853,1,3,-1,0,1
3854,0,1,0,0,1
3855,0,1,0,0,1
3856,0,1,0,0,1
3857,0,1,0,0,1
3858,0,2,1,1,1
3859,0,2,1,0,1
3860,0,1,0,0,1
3861,0,1,0,0,1
3862,1,3,-1,0,1
3863,1,3,-1,0,1
3864,0,1,0,0,1
3865,0,1,0,0,1
3866,0,1,0,0,1
3867,0,1,0,0,1
3868,0,2,3,1,1
3869,0,2,3,0,1
3870,0,1,0,0,1
3871,0,1,0,0,1
3872,0,1,0,0,1
3873,0,1,0,0,1
3874,0,1,0,0,1
3875,0,1,0,0,1
3876,1,3,-1,0,1
3877,1,3,-1,0,1
3878,0,1,0,0,1
3879,0,1,0,0,1
3880,1,3,-1,0,1
3881,1,3,-1,0,1
3882,0,1,0,0,1
3883,0,1,0,0,1
3884,0,1,0,0,1
3885,0,1,0,0,1
3886,0,1,0,0,1
3887,0,1,0,0,1
3888,1,3,-1,0,1
3889,1,3,-1,0,1
3890,0,1,0,0,1
3891,0,1,0,0,1
3892,0,2,1,1,1
3893,0,2,1,0,1
3894,0,1,0,0,1
3895,0,1,0,0,1
3896,0,1,0,0,1
3897,0,1,0,0,1
3898,0,1,0,0,1
3899,0,1,0,0,1
3900,0,2,2,1,1
3901,0,2,2,0,1
3902,0,1,0,0,1
3903,0,1,0,0,1
3904,0,1,0,0,1
3905,0,1,0,0,1
3906,1,3,-1,0,1
3907,1,3,-1,0,1
3908,0,1,0,0,1
3909,0,1,0,0,1
3910,1,3,-1,0,1
3911,1,3,-1,0,1
3912,0,1,0,0,1
3913,0,1,0,0,1
3914,0,1,0,0,1
3915,0,1,0,0,1
3916,1,3,-1,0,1
3917,1,3,-1,0,1
3918,1,3,-1,0,1
3919,1,3,-1,0,1
3920,0,1,0,0,1
3921,0,1,0,0,1
3922,1,3,-1,0,1
3923,1,3,-1,0,1
3924,0,1,0,0,5
3925,0,1,0,0,5
3926,0,1,0,0,5
3927,0,1,0,0,5
3928,1,3,-1,0,7
3929,1,3,-1,0,7
3930,1,3,-1,0,7
3931,1,3,-1,0,7
3932,0,1,0,0,7
3933,0,1,0,0,7
3934,0,1,0,0,7
3935,0,1,0,0,7
3936,0,2,1,1,7
3937,0,2,1,0,7
3938,0,1,0,0,7
3939,0,1,0,0,7
3940,0,1,0,0,7
3941,0,1,0,0,7
3942,1,3,-1,0,7
3943,1,3,-1,0,7
3944,0,1,0,0,7
3945,0,1,0,0,7
3946,1,3,-1,0,7
3947,1,3,-1,0,7
3948,0,1,0,0,7
3949,0,1,0,0,7
3950,0,1,0,0,7
3951,0,1,0,0,7
3952,0,2,3,1,7
3953,0,2,3,0,7
3954,0,1,0,0,7
3955,0,1,0,0,7
3956,0,1,0,0,7
3957,0,1,0,0,7
3958,0,2,2,1,7
3959,0,2,2,0,7
